#;Indicator_BHS;Indicator English;Focus Group;Concept;M;F;Y;Total;Code_1;Code_2;Comments;Code 1 ;Subcode 1;Subcat 1 name;Code 2;Subcode 2;Subcat 2 name;Dimension 1;Dimension 2;M-F;Min (M,F,Y);Imp score;Imp-M;Imp-F;Imp-Y;Imp-Cat1;Imp-Cat2
264;U Mostaru nema ljudi, kojima smetaju ljudi drugačiji svjetonazora.;In Mostar people aren't bothered by those with different worldviews.;women;peace;0;1;1;2;1;6;;1;0;Integration and Acceptance;6;0;Social Relations;Culture & Society;Culture & Society;-1;0;0.826086957;0;1.062111801;1.06875;0.511627907;0.710144928
36;Dobri ljudi ne pričaju jednima o drugima iza leđa;Good people do not talk about one another behind their backs;youth;peace;3;2;2;7;1.1;6.3;;1;10;Personal value;6;3;Social Trust;Culture & Society;Culture & Society;1;2;2.891304348;5.516129032;2.124223602;2.1375;1.790697674;2.485507246
54;Ime osobe nije bitno nego njegova/njena vrijednost kao čovjeka.;A person's name is not important, but rather his/her value as a human;men;peace;1;1;6;8;1.1;6.9;;1;10;Personal value;6;9;Ethno-religious identity;Culture & Society;Culture & Society;0;1;3.304347826;1.838709677;1.062111801;6.4125;2.046511628;2.84057971
242;Svi ljudi u Mostaru nesmetano provode svoje običaje.;All people in Mostar carry out their customs without hindrance.;women;peace;1;2;1;4;1.3;6.3;;1;3;Social;6;3;Social Trust;Culture & Society;Culture & Society;-1;1;1.652173913;1.838709677;2.124223602;1.06875;1.023255814;1.420289855
289;U Podhumu su ljudi odvajkada živjeli zajedno.;People have always lived together in Podhum;men;peace;1;3;1;5;1.3;6.9;;1;3;Social;6;9;Ethno-religious identity;Culture & Society;Culture & Society;-2;1;2.065217391;1.838709677;3.186335404;1.06875;1.279069767;1.775362319
66;Kada se dobro slažu Bošnjaci i Hrvati koji žive jedni pored drugih;When Bosniaks and Croats living close to one another get along well;youth;peace;0;1;1;2;1.3;6.9;;1;3;Social;6;9;Ethno-religious identity;Culture & Society;Culture & Society;-1;0;0.826086957;0;1.062111801;1.06875;0.511627907;0.710144928
319;Žalosno je da neko i danas živi takve nacionalne podjele;It's a pity that even today one lives in such separations based on nationality;youth;peace;2;0;0;2;1.3;6.9;;1;3;Social;6;9;Ethno-religious identity;Culture & Society;Culture & Society;;;0.826086957;3.677419355;0;0;0.511627907;0.710144928
86;Ljudi mirno hodaju i po lijevoj i po desnoj strani grada.;People walk peacefully on both the left and the right side of the city.;men;peace;1;4;3;8;2;2.3;;2;0;Tranquility/Security;2;3;Movement;Security;Security;-3;1;3.304347826;1.838709677;4.248447205;3.20625;2.666666667;2.666666667
245;U DUM-u i Franjevačkoj se niko ne bije;There are no fights in DUM and Franjevačka street;women;peace;0;0;1;1;2;4;;2;0;Tranquility/Security;4;0;Criminality and Legal Enforcement;Security;Rights & Dignity;0;0;0.413043478;0;0;1.06875;0.333333333;0.403225806
223;Stanarima ulice Fra Ambre Miletića se ne provaljuje u auta.;Residents of Fra Ambre Miletića Street do not have their cars broken into.;women;peace;0;1;0;1;2;4.3;;2;0;Tranquility/Security;4;3;Non-violent Crime;Security;Rights & Dignity;-1;0;0.413043478;0;1.062111801;0;0.333333333;0.403225806
