#;Indikator BHS;Indicator English;Focus Group;Concept;F;M;Y;T;Code 1;Code 2;Comments;Code 1 ;Subcode 1;Subcat 1 name;Code 2;Subcode 2;Subcat 2 name;Dimension 1;Dimension 2;M-F;Min (M,F,Y);Imp score;Imp-F;Imp-M;Imp-Y;Imp-Cat1;Imp-Cat2
1.0;"Instagram stranicu ""pomozi.mojoj.nevjeri"", koju je pokrenula djevojka iz Mostara, je podijelilo mnogo ljudi, kako bi se moglo pomoći što većem broju ljudi.";"Many people shared the Instagram page ""pomozi.mojoj.nevjeri,"" which was launched by a girl from Mostar in order to help as many people as possible.";youth;peace;4.0;10.0;16.0;30;6.5;10.4;;6;5.0;Technology;10;4.0;Public information;Culture & Society;Rights & Dignity;-6;4;7.880987;4.044693;10;8.802432;1.067217;4.285714
4.0;Ljudi u Mostaru ne smatraju da je Mostar grad-slučaj, kao što se to predstavlja u medijima.;People in Mostar do not consider their city a case city [derogatory reference] as portrayed in the media.;men;peace;9.0;5.0;3.0;17;13.0;9.3;;13;0.0;Media;9;3.0;Political functionality;Culture & Society;Rights & Dignity;4;3;4.465893;9.100559;5;1.650456;64.104167;3.169492
5.0;Roditelji smiju pustiti djecu da se igraju vani u dvorištu, bez straha.;Parents allow their children to play outside in the yard without fear.;men;peace;10.0;;6.0;16;2.2;15.2;;2;2.0;Confidence;15;2.0;Infrastructure;Security;Culture & Society;10;6;4.203193;10.111732;0;3.300912;2.184012;2.893617
8.0;U Mostaru svatko svakome pomažemo.;In Mostar everyone helps everyone else.;youth;peace;4.0;2.0;8.0;14;1.3;;;1;3.0;Social;0;0.0;0;Culture & Society;0;2;2;3.677794;4.044693;2;4.401216;4.280405;0.0
9.0;Ljudi u Mostaru više šetaju nego da koriste auta.;People in Mostar walk more than they use cars.;youth;peace;3.0;;11.0;14;21.0;11.3;;21;0.0;Motor Vehicles;11;3.0;Individual Leisure;Culture & Society;Culture & Society;3;3;3.677794;3.03352;0;6.051672;5.312369;2.062016
14.0;Na Bijelom Brijegu ima dovoljno mjesta za parking, pa ljudi ne moraju ostavljati auto na ulici.;In Bijeli Brijeg there is enough place for parking so people don't have to leave their cars on the street.;men;peace;6.0;2.0;5.0;13;21.1;;;21;10.0;Parking;0;0.0;0;Culture & Society;0;4;2;3.415094;6.067039;2;2.75076;4.932914;0.0
16.0;Mladi sa Bijelog Brijega se druže u lokalnom kafiću kod Nine.;Young people from Bijeli Brijeg hang out at Nina's, a local cafe.;men;peace;;4.0;8.0;12;15.0;11.1;;15;0.0;Youth;11;10.0;Cafes and Space;Culture & Society;Culture & Society;-4;4;3.152395;0.0;4;4.401216;1.359199;1.767442
19.0;Mladež s Bijelog Brijega se druži u caffe baru Kvart.;Young people from Bijeli Brijeg hang out in the 'Kvart' cafe bar.;youth;peace;1.0;3.0;7.0;11;11.1;15.0;;11;10.0;Cafes and Space;15;0.0;Youth;Culture & Society;Culture & Society;-2;1;2.889695;1.011173;3;3.851064;0.812322;1.989362
20.0;Dok u Americi ljudi samo rade, mi radimo i uživamo.;While people in America simply work, we work and enjoy ourselves.;men;peace;2.0;1.0;8.0;11;20.8;11.3;;20;8.0;Livelihoods;11;3.0;Individual Leisure;Economic Activity & Livelihoods;Culture & Society;1;1;2.889695;2.022346;1;4.401216;3.190705;1.620155
23.0;Đemo Kasumović je počeo čistiti Trimušu pa su se i ostali ljudi priključili toj akciji.;Đemo Kasumović began cleaning Trimuša so others joined in the activity.;women;peace;;8.0;2.0;10;6.4;18.3;;6;4.0;Activism;18;3.0;Environmental Restoration;Culture & Society;Rights & Dignity;-8;2;2.626996;0.0;8;1.100304;0.355739;2.325581
24.0;Na Bijelom Brijegu se vidi dosta djece koja se igraju ispred zgrada.;In Bijeli Brijeg one sees many children playing in front of the building.;women;peace;5.0;1.0;4.0;10;15.0;11.3;;15;0.0;Youth;11;3.0;Individual Leisure;Culture & Society;Culture & Society;4;1;2.626996;5.055866;1;2.200608;1.132666;1.472868
25.0;Novi park za djecu na Bijelom Brijegu se ne uništava vrlo brzo nakon postavljanja.;The new children's park in Bijeli Brijeg is not quickly destroyed after iinstallation.;men;peace;;3.0;7.0;10;3.8;3.8;;3;8.0;Condition;3;8.0;Condition;Culture & Society;Culture & Society;-3;3;2.626996;0.0;3;3.851064;0.323214;2.1875
26.0;Na Bijelom Brijegu postoji osnovna škola.;There is an elementary school in Bijeli Brijeg.;men;peace;;5.0;5.0;10;19.0;;;19;0.0;Education;0;0.0;0;Rights & Dignity;0;-5;5;2.626996;0.0;5;2.75076;12.569444;0.0
27.0;Male stepenice na Bijelom Brijegu su osvijetljene.;The small stairs in Bijeli Brijeg are illuminated.;woman;peace;3.0;3.0;4.0;10;17.3;21.3;;17;3.0;Public Lighting;21;3.0;Pedestrian Safety;Economic Activity & Livelihoods;Culture & Society;0;3;2.626996;3.03352;3;2.200608;2.556497;1.698113
28.0;Na Trimuši je izgrađen park za djecu.;A children's park was built in Trimuša.;woman;peace;6.0;;4.0;10;3.1;15.0;;3;10.0;Open Spaces;15;0.0;Youth;Culture & Society;Culture & Society;6;4;2.626996;6.067039;0;2.200608;0.323214;1.808511
29.0;Bijeli Brijeg ima puno zelenila pa predstavlja pluća grada.;With so much vegetation, Bijeli Brijeg represents the city's lungs.;woman;peace;2.0;2.0;6.0;10;3.8;;;3;8.0;Condition;0;0.0;0;Culture & Society;0;0;2;2.626996;2.022346;2;3.300912;0.323214;0.0
