#;Indikator BHS;Indicator English;Focus Group;Concept;F;M;Y;T;Code 1;Code 2;Comments;Code 1 ;Subcode 1;Subcat 1 name;Code 2;Subcode 2;Subcat 2 name;Dimension 1;Dimension 2;M-F;Min (M,F,Y);Imp score;Imp-F;Imp-M;Imp-Y;Imp-Cat1;Imp-Cat2
2;Radna mjesta se dobivaju bez štele;Jobs are obtained without štele;youth;life together;8.0;7.0;6.0;21;20.2;4.2;;20;2.0;Hiring & employment;4;2.0;Corruption;Economic Activity & Livelihoods;Rights & Dignity;1;6;5.894737;5.938144;5.419355;6.496241;6.573913;1.909091
3;Normalan čovjek ne želi rat.;A reasonable person does not want war;men;life together;8.0;6.0;4.0;18;7.0;2.0;;7;0.0;Legacies of War;2;0;Tranquility/Security;Dealing with the Past;Security;2;4;5.052632;5.938144;4.645161;4.330827;3.323077;3.5
4;Roditelji ne odgajaju djecu da mrze druge;Parents do not teach their children to hate others.;youth;life together;5.0;5.0;6.0;16;1.1;19.5;;1;10.0;Personal value;19;5;Family-based Education;Culture & Society;Rights & Dignity;0;5;4.491228;3.71134;3.870968;6.496241;0.415584;5.257143
5;Lijepo je vidjeti da se nalaze i crkva i džamija u par metara udaljenosti;It's nice to see that the church and the mosque are only few meters apart;youth;life together;6.0;5.0;4.0;15;14.4;1.0;;14;4.0;Religious buildings;1;0;Integration and Acceptance;Culture & Society;Culture & Society;1;4;4.210526;4.453608;3.870968;4.330827;40.0;2.946429
9;Život u zajednici u Blagaju je normalan.;Community life in Blagaj is normal.;women;life together;8.0;4.0;2.0;14;1.0;2.0;;1;0.0;Integration and Acceptance;2;0;Tranquility/Security;Culture & Society;Security;4;2;3.929825;5.938144;3.096774;2.165414;0.363636;2.722222
10;Oba dijela grada su jednako izgrađena;Both areas of the city are constructed equally.;women;life together;7.0;2.0;5.0;14;17.0;;;17;0.0;Infrastructure;0;0;0;Economic Activity & Livelihoods;0;5;2;3.929825;5.195876;1.548387;5.413534;5.6;0.0
14;Sistem ne pravi problem.;The system isn't a problem;men;life together;4.0;6.0;3.0;13;9.0;2.2;too vague;9;0.0;Governance;2;2.0;Confidence;Rights & Dignity;Security;-2;3;3.649123;2.969072;4.645161;3.24812;2.294118;2.527778
19;Ako je osoba pozitivna (dobra, otvorena), vjerovatno će i drugi oko nje biti takvi.;If a person is positive (good, open), others will most likely be as well.;women;life together;6.0;3.0;3.0;12;1.1;;;1;10.0;Personal value;0;0;0;Culture & Society;0;3;3;3.368421;4.453608;2.322581;3.24812;0.311688;0.0
20;U Mostaru ljudi više ne govore lijeva i desna strana.;People in Mostar people no longer speak of left and right sides [of the city].;women;life together;5.0;4.0;3.0;12;7.0;6.0;;7;0.0;Legacies of War;6;0;Social Relations;Dealing with the Past;Culture & Society;1;3;3.368421;3.71134;3.096774;3.24812;2.215385;4.3
21;Kad žena pokrene neku inicijativu za druženje žena, ljudi ne govore “šta će ona pokreniti…”;"When a woman starts an initiative for socializing with other women, people don't ask ""what can she possibly do...?""";women;life together;7.0;2.0;3.0;12;22.1;11.2;;22;10.0;Gender norms;11;2.0;Social;Culture & Society;Culture & Society;5;2;3.368421;5.195876;1.548387;3.24812;3.085714;2.341463
