#;Indikator BHS;Indicator English;Focus Group;Concept;F;M;Y;T;Code 1;Code 2;Comments;Code 1 ;Subcode 1;Subcat 1 name;Code 2;Subcode 2;Subcat 2 name;Dimension 1;Dimension 2;M-F;Min (M,F,Y);Imp score;Imp-F;Imp-M;Imp-Y;Imp-Cat1;Imp-Cat2
1;Bošnjaci i Hrvati u Mostaru se ne moraju slagati oko mišljenja, ali mogu naći zajednički jezik.;Bosniaks and Croats don't have to agree on everything, but can find a common language;men;peace;5.0;;2.0;7;6.1;6.9;;6;10.0;Us V Them;6;9.0;Ethno-religious identity;Culture & Society;Culture & Society;5;2;2.823113;4.97093;0.0;2.164557;0.195908;2.530769
3;Djeca svih nacija u Mostaru idu zajedno u školu.;Children of all ethnicities go to school together;men;peace;3.0;1.0;3.0;7;15.5;19.3;;15;5.0;Inclusion;19;3.0;School inclusiveness;Culture & Society;Rights & Dignity;2;1;2.823113;2.982558;1.819149;3.246835;1.023077;1.555556
7;Mir dugo traje, pa su ljudi zaboravili na rat.;It has been peace for a long time, so people have forgotten about the war;men;peace;2.0;;;2;7.1;2.1;;7;10.0;Memorialization;2;10.0;Sense of safety;Dealing with the Past;Security;2;2;0.806604;1.988372;0.0;0.0;1.583333;0.647059
8;Razdvajanje ljudi na nacionalnoj osnovi čovjeku iz Podhuma tjera suze na oči.;The separation of people on a national basis brings tears to the eyes of the man from Podhum.;men;peace;;;2.0;2;6.9;6.1;;6;9.0;Ethno-religious identity;6;10.0;Us V Them;Culture & Society;Culture & Society;0;2;0.806604;0.0;0.0;2.164557;0.055974;0.723077
10;U Podhumu roditelji ne brane djeci da se druže s „drugima“.;"Parents in Podhum don't forbid their children to play with ""the others""";men;peace;;;1.0;1;15.2;6.1;2022-02-12;15;2.0;Infrastructure;6;10.0;Us V Them;Culture & Society;Culture & Society;0;1;0.403302;0.0;0.0;1.082278;0.146154;0.361538
12;"""Novokomponovani"" u Podhumu ne gledaju ružno kada prođe gospođa koja je obučena prilično njenoj vjeri (s maramom)";"""Newcomers"" in Podhum do not look ugly when a lady who is dressed according to her faith (with a headscarf)";women;peace;2.0;;;2;14.2;6.1;;14;2.0;Interfaith relations;6;10.0;Us V Them;Culture & Society;Culture & Society;2;2;0.806604;1.988372;0.0;0.0;1.103226;0.723077
13;9. razred škole svake godine organizuje školski nogometni turnir;There is a school football tournament every year organized by nine graders;youth;peace;;1.0;1.0;2;19.4;12.3;;19;4.0;Student activities;12;3.0;Activities;Rights & Dignity;Culture & Society;-1;1;0.806604;0.0;1.819149;1.082278;0.527778;0.62069
16;Auta parkirana u DUM-u se ne guraju u Radobolju.;The cars parked at DUM are not being pushed into Radobolja;women;peace;1.0;;;1;4.3;21.0;;4;3.0;Non-violent Crime;21;0;Motor Vehicles;Rights & Dignity;Culture & Society;1;1;0.403302;0.994186;0.0;0.0;0.110323;0.454545
18;Bošnjačko dijete iz Podhuma, ide u školu u Podhum, koja mu je udaljena 100 m, i otac je ne mora svaki dan voziti u školu u Donju mahalu.;A Bosniak child from Podhum goes to school in Podhum, which is 100 m away, and her father does not have to drive her to school in Donja mahala every day.;men;peace;1.0;1.0;;2;19.3;15.5;;19;3.0;School inclusiveness;15;5;Inclusion;Rights & Dignity;Culture & Society;0;1;0.806604;0.994186;1.819149;0.0;0.527778;0.553846
19;Bošnjačko dijete, koje živi u Podhumu, ne ignorišu druga djeca koja nisu Bošnjaci.;A Bosniak child living in Podhum is not ignored by other non-Bosniak children;men;peace;;2.0;;2;15.5;;;15;5.0;Inclusion;0;0;0;Culture & Society;0;-2;2;0.806604;0.0;3.638298;0.0;0.292308;0.0
