#;Indikator BHS;Indicator English;Focus Group;Concept;F;M;Y;T;Code 1;Code 2;Comments;Code 1 ;Subcode 1;Subcat 1 name;Code 2;Subcode 2;Subcat 2 name;Dimension 1;Dimension 2;M-F;Min (M,F,Y);Imp score;Imp-F;Imp-M;Imp-Y;Imp-Cat1;Imp-Cat2
8;Poslovi se ne dobivaju preko političkih veza.;Jobs aren't acquired through political connections.;men;peace;6.0;3.0;9.0;18;20.2;4.2;;20;2.0;Hiring & employment;4;2.0;Corruption;Economic Activity & Livelihoods;Rights & Dignity;3;3;4.142857;4.776471;3.274194;4.142857;8.847458;2.907692
10;U Zaliku dobro prihvataju osobe koje tek dosele.;In Zalik residents welcome people who have moved in.;youth;peace;9.0;1.0;7.0;17;6.1;;;6;10.0;Us V Them;0;0;0;Culture & Society;0;8;1;3.912698;7.164706;1.091398;3.222222;0.289732;0.0
11;Roditelji su svjesni da djeca upijaju sve što se govori oko njih.;Parents are aware that kids absorb everything they hear around them.;women;peace;6.0;5.0;6.0;17;19.5;15.0;;19;5.0;Family-based Education;15;0;Youth;Rights & Dignity;Culture & Society;1;5;3.912698;4.776471;5.456989;2.761905;1.188361;2.518519
12;Djeca se druže bez problema, kada im se objasni da ne postoje razlike između ljudi različitih nacionalnosti.;When you explain that there are no differences between people of different nationalities, kids hang out with each other without any problems.;women;peace;4.0;2.0;11.0;17;15.5;1.1;;15;5.0;Inclusion;1;10.0;Personal value;Culture & Society;Culture & Society;2;2;3.912698;3.184314;2.182796;5.063492;1.278148;1.721519
13;U Zaliku su sva mjesta sigurna.;In Zalik all places are safe.;youth;peace;3.0;5.0;9.0;17;2.0;3.0;;2;0.0;Tranquility/Security;3;0;Public space;Security;Culture & Society;-2;3;3.912698;2.388235;5.456989;4.142857;1.990196;3.2
16;Nemamo ličnih negativnih situacija na drugoj strani grada.;We (residents of Zalik) don't have any personal negative issues on the west side of the city.;youth;peace;2.0;1.0;13.0;16;6.1;1.3;;6;10.0;Us V Them;1;3.0;Social;Culture & Society;Culture & Society;1;1;3.68254;1.592157;1.091398;5.984127;0.272689;1.620253
17;Generalno, Zalik je jedna velika familija.;All in all, Zalik is one big family.;women;peace;3.0;5.0;8.0;16;6.3;1.3;;6;3.0;Social Trust;1;3.0;Social;Culture & Society;Culture & Society;-2;3;3.68254;2.388235;5.456989;3.68254;0.272689;1.620253
18;Ako neki Musliman ima bradu, to ne znači da Musliman bez brade nije pravi Musliman.;If some Muslims have a beard, that doesn't mean that those without beards aren't real Muslims.;women;peace;2.0;5.0;9.0;16;14.3;;;14;3.0;Religious beliefs and practices;0;0;0;Culture & Society;0;-3;2;3.68254;1.592157;5.456989;4.142857;25.375;0.0
19;Poslovi se ne dobivaju preko rodbinskih veza.;Jobs aren't gotten through family connections.;women;peace;4.0;2.0;10.0;16;20.2;4.2;;20;2.0;Hiring & employment;4;2.0;Corruption;Economic Activity & Livelihoods;Rights & Dignity;2;2;3.68254;3.184314;2.182796;4.603175;7.864407;2.584615
21;Stanovnici koji žive na Putu za Podvelež su se dogovorili da se njihovo smeće odvozi 2 puta sedmično.;Residents who live on way to Podvelež they agreed for their trash to be picked up twice a week.;men;peace;2.0;3.0;10.0;15;18.1;6.1;2022-02-14 00:00:00;18;10.0;Waste management Services;6;10.0;Us V Them;Rights & Dignity;Culture & Society;-1;2;3.452381;1.592157;3.274194;4.603175;6.904762;2.32852
