#;Indicator_BHS;Indicator_Eng;Focus_Group;Concept;M;F;Y;Total;Code_1;Code_2;Comments;Code 1 ;Subcode 1;Subcat 1 name;Code 2;Subcode 2;Subcat 2 name;Dimension 1;Dimension 2;M-F;Min (M,F,Y);Imp score;Imp-M;Imp-F;Imp-Y;Imp-Cat1;Imp-Cat2
35;Ljudi ne ogovaraju jedni druge;People don’t speak ill of/gossip about others.;men;life together;;6;3;9;6.3;1;;6;3;Social Trust;1;0;Integration and Acceptance;Culture & Society;Culture & Society;-6;3;0.00;0.00;0.00;0.00;0.00;0.00
34;Na Bulevaru, Bošnjaci ne razlikuju po vjeri druge ljude koji tu žive;On Bulevar, Bosniaks do not differentiate by the faith of the different people that live there.;youth;life together;1;2;6;9;6.9;1;;6;9;Ethno-religious identity;1;0;Integration and Acceptance;Culture & Society;Culture & Society;-1;1;0.00;0.00;0.00;0.00;0.00;0.00
210;Stanari zgrade u Cernici su različitih vjeroispovijesti;In Cernica, the building tenants are members of different religious confessions.;women;life together;;;2;2;6.9;1;;6;9;Ethno-religious identity;1;0;Integration and Acceptance;Culture & Society;Culture & Society;0;2;0.00;0.00;0.00;0.00;0.00;0.00
84;Služba za anesteziju, reanimaciju i intenzivnu terapiju Kantonalne bolnice „Dr. Safet Mujić“ Mostar odlično sarađuje sa istim Odjelom na Sveučilišnoj kliničkoj bolnici Mostar, praktično kao jedna služba;The department for anesthesia, resuscitation and intensive care of the Dr. Safet Mujić Cantonal Hospital in Mostar cooperates well with the same Department at the University Clinical Hospital Mostar, practically as one service.;women;life together;2;;3;5;10.8;1;;10;8;Medical;1;0;Integration and Acceptance;Rights & Dignity;Culture & Society;2;2;0.00;0.00;0.00;0.00;0.00;0.00
168;Dan državnosti BiH u Mostaru obilježavaju sve škole;All schools in Mostar mark Statehood Day of Bosnia and Herzegovina.;youth;life together;1;2;;3;19.4;1;;19;4;Student activities;1;0;Integration and Acceptance;Rights & Dignity;Culture & Society;-1;1;0.00;0.00;0.00;0.00;0.00;0.00
295;Ljudi pristojno ukazuju komšijama na stvari koje su pogrešne;People politely point out things to their neighbors that are wrong;men;life together;;1;;1;6.12;1.1;;6;12;Neighbor Relations;1;10;Personal value;Culture & Society;Culture & Society;-1;1;0.00;0.00;0.00;0.00;0.00;0.00
288;Ima pojedinaca među Hrvatima koji žele pomirenje;There are individuals of Croatian nationality who want reconciliation.;youth;life together;;1;;1;7.5;1.3;;7;5;Forgiveness;1;3;Social;Dealing with the Past;Culture & Society;-1;1;0.00;0.00;0.00;0.00;0.00;0.00
327;Zastava Armije BiH je uklonjena s mjesta na kojem Hrvati i Bošnjaci zajednički obilježavaju neku manifestaciju;The Bosnia army flag is removed from the place where Croatian and Bosniak people organize a common event.;youth;life together;1;;;1;8.5;1.3;;8;5;Political Symbols;1;3;Social;Culture & Society;Culture & Society;;;0.00;0.00;0.00;0.00;0.00;0.00
127;U Mostaru postoji zajednička javna biblioteka za obje strane;There is a common public library for both sides in Mostar.;youth;life together;;4;;4;10;1.3;;10;0;Social Programs / Social Services;1;3;Social;Rights & Dignity;Culture & Society;-4;4;0.00;0.00;0.00;0.00;0.00;0.00
291;Na krosu u Mostaru zajedno učestvuju stariji s obje strane grada;Old people from both sides of the city take part in a cross-country race in Mostar;youth;life together;;1;;1;12.3;1.3;;12;3;Activities;1;3;Social;Culture & Society;Culture & Society;-1;1;0.00;0.00;0.00;0.00;0.00;0.00
321;Momak iz Cernice bez straha ide pješke na fakulet na zapadnu stranu;A boy from Cernica walks without fear to college located on the West side.;youth;life together;;1;;1;2.3;2.2;;2;3;Movement;2;2;Confidence;Security;Security;;;0.00;0.00;0.00;0.00;0.00;0.00
44;Ljudi s obje strane grada koji posjećuju Advent nisu samo u prolazu, nego se druže zajedno;People on both sides of the city who visit Advent are not just passing by, but hanging out together;youth;life together;2;4;2;8;11;2.3;;11;0;Socializing;2;3;Movement;Culture & Society;Security;-2;2;0.00;0.00;0.00;0.00;0.00;0.00
322;Učenici Gimnazije zajedno izlaze na obje strane grada;Students from Gimnazija go out on both sides of the city.;women;life together;;1;;1;15.5;2.3;;15;5;Inclusion;2;3;Movement;Culture & Society;Security;;;0.00;0.00;0.00;0.00;0.00;0.00
318;Učenike Bošnjake i Hrvate, koji zajedno pohađaju školu, nije strah prelaziti na drugu stranu;Bosnian and Croatian students that go to the same class, are not afraid to cross over to the other side.;youth;life together;1;;;1;19.3;2.3;;19;3;School inclusiveness;2;3;Movement;Rights & Dignity;Security;;;0.00;0.00;0.00;0.00;0.00;0.00
