#;Indicator_BHS;Indicator English;Focus Group;Concept;M;F;Y;Total;Code_1;Code_2;Comments;Code 1 ;Subcode 1;Subcat 1 name;Code 2;Subcode 2;Subcat 2 name;Dimension 1;Dimension 2;M-F;Min (M,F,Y);Imp score;Imp-M;Imp-F;Imp-Y;Imp-Cat1;Imp-Cat2
33;Djevojka ne mora biti nečija ljubavnica da bi dobila posao u Mostaru.;A girl doesn't have to be someone's mistress to get a job in Mostar.;women;life together;2;10;2;14;22.1;20.2;;22;10;Gender norms;20;2;Hiring & Employment;Culture & Society;Economic Activity & Livelihoods;-8;2;0.00;0.00;0.00;0.00;0.00;0.00
333;Žene rade i na drugim mjestima, ne samo trgovinama;Women don't only work in retail, but other places too;youth;life together;1;0;2;3;22.1;20.2;;22;10;Gender norms;20;2;Hiring & Employment;Culture & Society;Economic Activity & Livelihoods;;;0.00;0.00;0.00;0.00;0.00;0.00
283;U Podhumu ima više prostora za pješake;In Podhum there exists more space for pedestrians.;youth;life together;1;2;0;3;21.3;3.1;;21;3;Pedestrian Saftey;3;10;Open spaces;Culture & Society;Culture & Society;-1;0;0.00;0.00;0.00;0.00;0.00;0.00
80;Ljudi hodaju gradom bez straha da će ih neko pregaziti autom;People walk around the city without the fear of being run over by a car.;women;life together;0;1;0;1;21.3;2;;21;3;Pedestrian Saftey;2;0;Tranquility/Security;Culture & Society;Security;-1;0;0.00;0.00;0.00;0.00;0.00;0.00
70;Kamioni ne prave zastoje i ne uništavaju ceste (npr. kod Rondoa) jer ne prolaze kroz grad.;Trucks don't cause traffic jams and don't ruin the streets (for example, at the maiin round-about) because they pass through the city.;youth;life together;0;3;1;4;21.2;17.1;;21;2;Traffic;17;10;Roads;Culture & Society;Economic Activity & Livelihoods;-3;0;0.00;0.00;0.00;0.00;0.00;0.00
128;Mostarci ne odlaze, jer za njih ima posla u gradu.;People of Mostar don't leave because they can find jobs here;women;life together;0;1;4;5;20.8;;;20;8;Livelihoods;0;0;0;Economic Activity & Livelihoods;0.00;-1;0;0.00;0.00;0.00;0.00;0.00;0.00
97;Ljudi su zadovoljniji, jer pristojno zarađuju.;People are satisfied because they earn enough;women;life together;1;1;0;2;20.8;;;20;8;Livelihoods;0;0;0;Economic Activity & Livelihoods;0.00;0;0;0.00;0.00;0.00;0.00;0.00;0.00
162;Osnovne namirnice, kao hrana i ulje, nisu skupe;Essential groceries, like food and oil, are not expensive;youth;life together;0;0;1;1;20.8;;;20;8;Livelihoods;0;0;0;Economic Activity & Livelihoods;0.00;0;0;0.00;0.00;0.00;0.00;0.00;0.00
278;U Mostaru se stvaraju uslovi zaposlenja da mladi ostaju.;Better employment conditions are being created in Mostar in order to prevent younger generations from leaving;men;life together;1;0;0;1;20.5;15.4;;20;5;Youth employment;15;4;Livelihoods;Economic Activity & Livelihoods;Culture & Society;1;0;0.00;0.00;0.00;0.00;0.00;0.00
123;Mladi ljudi s 2 diplome nalaze posao u Mostaru iako nemaju stranačku diplomu.;Young people with 2 degrees find work in Mostar even though they do not have a party diploma.;men;life together;0;3;1;4;20.5;4.2;;20;5;Youth employment;4;2;Corruption;Economic Activity & Livelihoods;Rights & Dignity;-3;0;0.00;0.00;0.00;0.00;0.00;0.00
150;Ne radi se na crno pa radnici imaju zdravstveno osiguranje;There aren't illegal jobs, so workers have health insurance;youth;life together;0;0;1;1;20.3;10;;20;3;Workers protection and rights;10;0;Social Programs / Social Services;Economic Activity & Livelihoods;Rights & Dignity;0;0;0.00;0.00;0.00;0.00;0.00;0.00
263;U Mostaru ne vlada robovlasnički sistem i radnici uživaju radnička prava.;Mostar does not have a slave ownership system and workers enjoy workers' rights.;men;life together;0;1;2;3;20.3;;;20;3;Workers protection and rights;0;0;0;Economic Activity & Livelihoods;0.00;-1;0;0.00;0.00;0.00;0.00;0.00;0.00
290;U privatnika jedan čovjek ne radi posao za dva čovjeka.;Being employed in a private company one person does not do the work of two people.;men;life together;0;1;1;2;20.3;;;20;3;Workers protection and rights;0;0;0;Economic Activity & Livelihoods;0.00;-1;0;0.00;0.00;0.00;0.00;0.00;0.00
17;Biro za zapošljavanje ne poziva na besplatne kurseve, nego na razgovore za posao;The recruitment office does not invite people to free courses, but job interviews;youth;life together;1;0;2;3;20.2;9.3;;20;2;Hiring & Employment;9;3;Political functionality;Economic Activity & Livelihoods;Rights & Dignity;1;0;0.00;0.00;0.00;0.00;0.00;0.00
127;Mostarci dobijaju priliku da se zaposle, jer su se „došle“ vratile odakle su došli.;The locals/Mostarians get a chance at employment because the newcomers went back to their places they came from.;women;life together;0;0;1;1;20.2;6.1;;20;2;Hiring & Employment;6;10;Us V Them;Economic Activity & Livelihoods;Culture & Society;0;0;0.00;0.00;0.00;0.00;0.00;0.00
280;U Mostaru se zapošljavaju stručni, a ne podobni ljudi.;In Mostar competent people are employed, not ones who toe the political party line.;men;life together;2;3;3;8;20.2;4.2;Translation;20;2;Hiring & Employment;4;2;Corruption;Economic Activity & Livelihoods;Rights & Dignity;-1;2;0.00;0.00;0.00;0.00;0.00;0.00
185;Posao se ne dobiva preko štele;One does not get employed through nepotism;youth;life together;3;2;0;5;20.2;4.2;;20;2;Hiring & Employment;4;2;Corruption;Economic Activity & Livelihoods;Rights & Dignity;1;0;0.00;0.00;0.00;0.00;0.00;0.00
251;U javnim preduzećima na jednom radnom mjestu ne rade tri osobe.;In public companies, three people do not work one job.;men;life together;1;1;0;2;20.2;4.2;;20;2;Hiring & Employment;4;2;Corruption;Economic Activity & Livelihoods;Rights & Dignity;0;0;0.00;0.00;0.00;0.00;0.00;0.00
95;Ljudi se osjećaju fino u svom gradu zato jer imaju posao.;People feel good in their city because they have a job;women;life together;0;0;1;1;20.2;3.9;;20;2;Hiring & Employment;3;9;Public Ownership;Economic Activity & Livelihoods;Culture & Society;0;0;0.00;0.00;0.00;0.00;0.00;0.00
258;U Mostaru ljudi rade posao za koji su se školovali.;In Mostar, people work jobs for which they were educated.;women;life together;1;6;4;11;20.2;;;20;2;Hiring & Employment;0;0;0;Economic Activity & Livelihoods;0.00;-5;1;0.00;0.00;0.00;0.00;0.00;0.00
87;Ljudi na birou za zapošljavanje ne čekaju 30 godina zaposlenje;People, registered at the recruitment service, don't wait 30 years for employment;youth;life together;0;4;2;6;20.2;;;20;2;Hiring & Employment;0;0;0;Economic Activity & Livelihoods;0.00;-4;0;0.00;0.00;0.00;0.00;0.00;0.00
167;Otvaraju se fabrike u Mostaru, u kojima rade i Hrvati, i Srbi i Bošnjaci.;Factories are being opened in Mostar in which Croats, Serbs and Bosniaks work together;women;life together;1;4;0;5;20.1;1;;20;10;Inclusivity;1;0;Integration and Acceptance;Economic Activity & Livelihoods;Culture & Society;-3;0;0.00;0.00;0.00;0.00;0.00;0.00
274;U Mostaru se djeca kući odgajaju za suživot.;The children are being raised to live in coexistence in Mostar;men;life together;2;1;2;5;19.5;15.5;;19;5;Family-based education;15;5;Inclusion;Rights & Dignity;Culture & Society;1;1;0.00;0.00;0.00;0.00;0.00;0.00
