#;Indikator_BHS;Indicator_Eng;Focus_Group;Concept;F;M;Y;Total;Code_1;Code_2;Comments;Code 1 ;Subcode 1;Subcat 1 name;Code 2;Subcode 2;Subcat 2 name;Dimension 1;Dimension 2;M-F;Min (M,F,Y);Imp score;Imp-M;Imp-F;Imp-Y;Imp-Cat1;Imp-Cat2
1;Kada neko boluje od teške bolesti (leukemije), ljudi skupe novac za njegovo liječenje.;When someone has a serious illness (leukemia), people raise money for their treatment;women;life together;3;3;22;28;6.10;;;6;10;Us V Them;0;0;0;Culture & Society;0.00;0;3;5.41;1.96;2.73;8.63;4.65;0.00
2;U Zaliku postoji nova ambulanta.;There is a new clinic in Zalik.;women;life together;8;3;12;23;10.8;17.4;;10;8;Medical;17;4;Buildings;Rights & Dignity;Economic Activity & Livelihoods;5;3;4.44;5.22;2.73;4.71;3.27;2.50
3;Ljudi se pozdravljaju s osmijehom na licu u Zaliku.;People greet each other with smiles on their faces in Zalik.;women;life together;5;7;9;21;1.3;6.12;;1;3;Social;6;12;Neighbor Relations;Culture & Society;Culture & Society;-2;5;4.05;3.26;6.37;3.53;2.96;3.49
4;U kafićima nema wi-fi pa ljudi pričaju jedni s drugima.;In cafes there is no Wi-Fi service, so people talk to each other.;men;life together;7;3;11;21;11.1;6.5;;11;10;Cafes and Space;6;5;Technology;Culture & Society;Culture & Society;4;3;4.05;4.57;2.73;4.32;3.19;3.49
5;U Zaliku nema provokatorskih grafita po zgradama ;In Zalik, there are is provocative graffiti on buildings;women;life together;5;2;12;19;8.5;3.9;;8;5;Political Symbols;3;9;Public Ownership;Culture & Society;Culture & Society;3;2;3.67;3.26;1.82;4.71;2.19;2.27
6;U Zaliku postoji funkcionalan fudbalski otvoreni, besplatni teren;In Zalik, there is a fully functional football field which is open and free.;women;life together;;;19;19;12.1;12.2;;12;10;Access to facilities;12;2;Public support for sports;Culture & Society;Culture & Society;0;19;3.67;0.00;0.00;7.45;1.90;1.90
7;Na Strelištu ima vodovod.;At Strelište (lit. shooting range) there is a water supply system ;youth;life together;7;4;8;19;17;10.6;;17;0;Infrastructure;10;6;Public utilities;Economic Activity & Livelihoods;Rights & Dignity;3;4;3.67;4.57;3.64;3.14;2.07;2.70
9;Roditelji nisu opterećeni egzistencijalnim problemima, pa su produktivni za zajednicu.;Parents aren't burdened by existential issues, so they are more productive in the community.;women;life together;10;3;5;18;20.8;3.9;;20;8;Livelihoods;3;9;Public Ownership;Economic Activity & Livelihoods;Culture & Society;7;3;3.48;6.53;2.73;1.96;4.03;2.15
14;Ambulanta u Zaliku je proširena.;The clinic in Zalik is expanded.;women;life together;4;9;4;17;10.8;17.4;;10;8;Medical;17;4;Buildings;Rights & Dignity;Economic Activity & Livelihoods;-5;4;3.28;2.61;8.19;1.57;2.41;1.85
15;Više se djece igra lopte na ulici.;More kids play football in the streets.;women;life together;7;1;9;17;15;3.7;3.1?;15;0;Youth;3;7;Activities;Culture & Society;Culture & Society;6;1;3.28;4.57;0.91;3.53;2.90;2.03
20;Kad počinje proljeće, organizuju se akcije čišćenja čitave mjesne zajednice u Zaliku.;When spring starts, cleaning events are organized for the whole MZ in Zalik.;men;life together;7;5;4;16;3.9;18.3;;3;9;Public Ownership;18;3;Environmental Restoration;Culture & Society;Rights & Dignity;2;4;3.09;4.57;4.55;1.57;1.91;2.12
22;Ljudi sa strane ne pitaju Mostarce da li žive u „muslimanskom“ ili „hrvatskom“ dijelu.;"Other people don't ask people from Mostar whether they live on the ""Muslim"" or ""Croatian"" side of the city.";youth;life together;4;2;9;15;6.1;1;1?;6;10;Us V Them;1;0;Integration and Acceptance;Culture & Society;Culture & Society;2;2;2.90;2.61;1.82;3.53;2.49;2.12
24;U Golden Club izlaze mladi ljudi sa obje strane grada;Young people from both sides of Mostar go to the Golden Club.;youth;life together;1;2;11;14;11.1;15.5;;11;10;Cafes and Space;15;5;Inclusion;Culture & Society;Culture & Society;-1;1;2.70;0.65;1.82;4.32;2.13;2.39
25;Ljudi koji plate kaznu od 20 KM kad bace smeće na ulicu, neće to više raditi.;People who pay a fine of 20 KM for throwing trash on the street won't do it again.;men;life together;5;2;7;14;4.3;18.2;;4;3;Non-violent Crime;18;2;Waste prevention;Rights & Dignity;Rights & Dignity;3;2;2.70;3.26;1.82;2.75;2.21;1.85
30;Gradonačelnik je riješio problem smeća u gradu.;The mayor solved the issue regarding the trash in the city.;men;life together;5;3;5;13;9.3;18;;9;3;Political functionality;18;0;Environment;Rights & Dignity;Rights & Dignity;2;3;2.51;3.26;2.73;1.96;1.99;1.72
33;Igrališta ne zjape prazna.;Playgrounds aren't empty.;men;life together;5;1;6;12;3.1;;;3;10;Open spaces;0;0;0;Culture & Society;0.00;4;1;2.32;3.26;0.91;2.35;1.43;0.00
34;U Zaliku nema parkiranih 20 vozila ispred pekare navečer.;In Zalik, there aren't 20 parked cars in front of the bakery in the evening.;men;life together;1;;11;12;21.1;;;21;10;Parking;0;0;0;Culture & Society;0.00;1;1;2.32;0.65;0.00;4.32;1.78;0.00
35;Problem na Uborku je riješen, jer je pronađeno novo mjesto za otpad.;The issue with Uborak has been solved because a new place for the waste has been found.;women;life together;6;1;5;12;18.1;10.6;;18;10;Waste management services;10;6;Public utilities;Rights & Dignity;Rights & Dignity;5;1;2.32;3.92;0.91;1.96;1.59;1.70
36;U Sjevernom logoru je napravljen dom zdravlja.;At Sjeverni Logor (University Campus) a health center has been built.;women;life together;4;4;4;12;10.8;17.4;;10;8;Medical;17;4;Buildings;Rights & Dignity;Economic Activity & Livelihoods;0;4;2.32;2.61;3.64;1.57;1.70;1.31
37;Ambulanta u Zaliku radi u 2 smjene.;The clinic in Zalik works in two shifts.;men;life together;3;7;2;12;10.8;;longer opening hours with two shifts;10;8;Medical;0;0;0;Rights & Dignity;0.00;-4;2;2.32;1.96;6.37;0.78;1.70;0.00
42;Akcije čišćenja pokreću građani, a ne stranke ;Clean up events are started by citizens, not by political parties.;youth;life together;1;4;6;11;6.4;18.3;;6;4;Activism;18;3;Environmental Restoration;Culture & Society;Rights & Dignity;-3;1;2.12;0.65;3.64;2.35;1.83;1.46
43;Ljudi koji ne poštuju zakone se kažnjavaju.;People who don't obey the law get punished.;men;life together;7;1;3;11;9.3;4;;9;3;Political functionality;4;0;Criminality and Legal Enforcement;Rights & Dignity;Rights & Dignity;6;1;2.12;4.57;0.91;1.18;1.68;1.74
44;Gradske vlasti rade na spajanju ljudi.;City officials work on bringing people together.;men;life together;3;5;3;11;9.5;1;;9;5;Political coexistence;1;0;Integration and Acceptance;Rights & Dignity;Culture & Society;-2;3;2.12;1.96;4.55;1.18;1.68;1.55
45;Rješavanje problema u Mostaru ne ide sporo.;The solving of problems in Mostar doesn't go slowly.;men;life together;2;4;5;11;9.3;;;9;3;Political functionality;0;0;0;Rights & Dignity;0.00;-2;2;2.12;1.31;3.64;1.96;1.68;0.00
46;Građani su glavni razlog zašto u Mostaru postoji problem smeća, a ne vlast, jer ljudi bacaju smeće.;The citizens are the main reason why there is an issue with the trash in Mostar, not the government, because people are the ones who litter. ;women;life together;3;2;6;11;18.2;3.9;;18;2;Waste prevention;3;9;Public Ownership;Rights & Dignity;Culture & Society;1;2;2.12;1.96;1.82;2.35;1.46;1.31
