#;Indikator BHS;Indicator English;Focus Group;Concept;F;M;Y;T;Code 1;Code 2;Comments;Code 1 ;Subcode 1;Subcat 1 name;Code 2;Subcode 2;Subcat 2 name;Dimension 1;Dimension 2;M-F;Min (M,F,Y);Imp score;Imp-F;Imp-M;Imp-Y;Imp-Cat1;Imp-Cat2
1;Cimljani održavaju baziliku u Cimu.;People from Cim take care of the Basilica in Cim.;youth;life together;5.0;12.0;4.0;21;3.2;14.2;;3;2.0;Public Ownership;14;2.0;Interfaith relations;Culture & Society;Culture & Society;-7;4;6.338308;4.2723;10.350711;4.067039;1.065217;4.8
4;Odrasla djeca pomažu svojim roditeljima.;Grown children help their parents.;men;life together;7.0;6.0;5.0;18;6.6;;;6;6.0;Inter-generational Relations;0;0;0;Culture & Society;0;1;5;5.432836;5.981221;5.175355;5.083799;0.323077;0.0
5;Mostarci se u svakom dijelu grada osjećaju dobrodošlo.;Mostarians feel welcome in every part of town.;youth;life together;3.0;9.0;5.0;17;1.3;6.3;;1;3.0;Social;6;3.0;Social Trust;Culture & Society;Culture & Society;-6;3;5.131012;2.56338;7.763033;5.083799;2.986486;4.533333
7;U Mostaru su svi građani Mostarci.;In Mostar all citizens are Mostarians.;youth;life together;3.0;8.0;5.0;16;1.3;3.2;;1;3.0;Social;3;2.0;Public Ownership;Culture & Society;Culture & Society;-5;3;4.829187;2.56338;6.900474;5.083799;2.810811;2.358974
10;Cim je posebno mjesto jer u Cimu se svi međusobno poznaju.;Cim is a special place because in Cim everybody knows everybody.;men;life together;1.0;7.0;7.0;15;6.12;6.3;;6;12.0;Neighbor Relations;6;3.0;Social Trust;Culture & Society;Culture & Society;-6;1;4.527363;0.85446;6.037915;7.117318;0.269231;4.0
11;NK Cim ima stadion u Cimu.;NK [football club] Cim has a stadium in Cim;men;life together;1.0;9.0;5.0;15;12.1;;;12;10.0;Facilities;0;0;0;Culture & Society;0;-8;1;4.527363;0.85446;7.763033;5.083799;6.393443;0.0
12;Djeca se druže na treninzima u Cimu.;Kids hang out at [football] trainings in Cim;men;life together;1.0;8.0;6.0;15;11.4;12.3;;11;4.0;Informal;12;3.0;Activities;Culture & Society;Culture & Society;-7;1;4.527363;0.85446;6.900474;6.100559;0.938144;1.721311
13;Cimljanin koji je rođen u Mostaru voli Mostar kao svoj grad.;A man from Cim who is born in Mostar loves Mostar as his own city.;men;life together;2.0;8.0;5.0;15;3.2;1.3;;3;2.0;Public Ownership;1;3.0;Social;Culture & Society;Culture & Society;-6;2;4.527363;1.70892;6.900474;5.083799;0.76087;2.837838
14;Mostar nije „grad slučaj“.;"Mostar is not a ""Grad slučaj"" [lit. case city; derogatory, e.g. underdeveloped, divided].";women;life together;9.0;2.0;4.0;15;9.3;;;9;3.0;Political functionality;0;0;0;Rights & Dignity;0;7;2;4.527363;7.690141;1.725118;4.067039;6.319444;0.0
20;Iduće godine advent u Mostaru bit će i još bolji.;The Advent [market] in Mostar will be even better next year.;men;life together;3.0;2.0;8.0;13;3.7;;;3;7.0;Activities;0;0;0;Culture & Society;0;1;2;3.923715;2.56338;1.725118;8.134078;0.65942;0.0
25;Ako školi nešto treba, svi u Cimu su spremni pomoći.;If the school needs something, everybody in Cim is ready to help.;men;life together;;9.0;3.0;12;3.2;19.0;;3;2.0;Public Ownership;19;0;Education;Culture & Society;Rights & Dignity;-9;3;3.621891;0.0;7.763033;3.050279;0.608696;2.181818
28;Kad god tražite pomoć u Cimu, nema nikoga tko će reći “Ja neću.”;"Whenever you seek help in Cim, nobody says ""I won't [help]"".";men;life together;1.0;6.0;4.0;11;6.1;6.3;;6;10.0;Us V Them;6;3.0;Social Trust;Culture & Society;Culture & Society;-5;1;3.320066;0.85446;5.175355;4.067039;0.197436;2.933333
29;Muškarci iz Cima se druže u kafiću kod Ate.;Men from Cim hang out at Ata's Cafe.;men;life together;3.0;5.0;3.0;11;11.1;;;11;10.0;Cafes and Space;0;0;0;Culture & Society;0;-2;3;3.320066;2.56338;4.312796;3.050279;0.687973;0.0
30;Sportske igre mladih okupljaju mlade iz čitave regije.;The Youth Sports Games gather youngsters from throughout the region.;youth;life together;1.0;7.0;3.0;11;15.5;12.3;;15;5.0;Inclusion;12;3.0;Activities;Culture & Society;Culture & Society;-6;1;3.320066;0.85446;6.037915;3.050279;3.033333;1.262295
33;Ako netko u Cimu ima koronu, svi susjedi pitaju kako mogu pomoći.;If someone in Cim has Corona all neighbors ask how they can help.;youth;life together;1.0;6.0;3.0;10;6.1;23.0;;6;10.0;Us V Them;23;0;Health;Culture & Society;Rights & Dignity;-5;1;3.018242;0.85446;5.175355;3.050279;0.179487;3.157895
34;Zakon u BiH se promijenio tako da ljudi imaju osnovnu minimalnu plaću veću od 450 KM.;The law in B&H has changed so now people have basic minimum pay above 450 KM.;men;life together;5.0;4.0;1.0;10;9.3;20.8;;9;3.0;Political functionality;20;8.0;Livelihoods;Rights & Dignity;Economic Activity & Livelihoods;1;1;3.018242;4.2723;3.450237;1.01676;4.212963;3.333333
35;Ljudi iz Mostara svake subote zajedno održavaju Trimušu.;Every Saturday people from Mostar go together to take care of Trimuša;youth;life together;;6.0;4.0;10;3.2;3.8;;3;2.0;Public Ownership;3;8.0;Condition;Culture & Society;Culture & Society;-6;4;3.018242;0.0;5.175355;4.067039;0.507246;1.474359
40;U Mostaru se ljudi pozdravljaju na ulici.;People greet each other in Mostar;youth;life together;;6.0;3.0;9;6.3;;;6;3.0;Social Trust;0;0;0;Culture & Society;0;-6;3;2.716418;0.0;5.175355;3.050279;0.161538;0.0
41;Roditelji uče djecu da poštuju druge vjere.;Parents teach their kid to respect other faiths.;women;life together;4.0;2.0;3.0;9;19.5;14.1;;19;5.0;Family-based Education;14;10.0;Religious education;Rights & Dignity;Culture & Society;2;2;2.716418;3.41784;1.725118;3.050279;8.272727;2.057143
42;Ljudi posjećuju kazalište, jer znaju da se održavaju predstave.;People visit the theater because they know there are performances.;youth;life together;7.0;;2.0;9;3.7;10.4;;3;7.0;Activities;10;4.0;Public information;Culture & Society;Rights & Dignity;7;2;2.716418;5.981221;0.0;2.03352;0.456522;2.769231
