#;Indikator BHS;Indicator English;Focus Group;Concept;F;M;Y;T;Code 1;Code 2;Comments;Code 1 ;Subcode 1;Subcat 1 name;Code 2;Subcode 2;Subcat 2 name;Dimension 1;Dimension 2;M-F;Min (M,F,Y);Imp score;Imp-F;Imp-M;Imp-Y;Imp-Cat1;Imp-Cat2
33;Djevojka ne mora biti nečija ljubavnica da bi dobila posao u Mostaru.;A girl doesn't have to be someone's mistress to get a job in Mostar.;women;life together;10.0;2.0;2.0;14;22.1;20.2;;22;10.0;Gender norms;20;2.0;Hiring & employment;Culture & Society;Economic Activity & Livelihoods;;;4.856531;9.152542;2.867257;1.830508;42.0;3.78
258;U Mostaru ljudi rade posao za koji su se školovali.;In Mostar, people work jobs for which they were educated.;women;life together;6.0;1.0;4.0;11;20.2;;;20;2.0;Hiring & employment;0;0;0;Economic Activity & Livelihoods;0;;;3.815846;5.491525;1.433628;3.661017;0.66;0.0
124;Mladi ne napuštaju Mostar zbog sigurnosti.;Young people don't leave Mostar because of safety;men;life together;5.0;1.0;3.0;9;15.0;2.0;;15;0.0;Youth;2;0;Tranquility/Security;Culture & Society;Security;4.0;1.0;3.122056;4.576271;1.433628;2.745763;1.383302;2.52
131;Mržnja se iskorijenjuje u Mostaru, jer roditelji uče mlađe naraštaje da ne mrze ljude druge vjere.;Hatred is being eradicated in Mostar, because parents teach younger generations not to hate people of other faiths.;women;life together;4.0;2.0;3.0;9;6.9;19.5;;6;9.0;Ethno-religious identity;19;5;Family-based Education;Culture & Society;Rights & Dignity;2.0;2.0;3.122056;3.661017;2.867257;2.745763;0.23501;1.714286
277;U Mostaru se ne začepi kanalizacija čim padne kiša.;In Mostar the sewer does not clog as soon as it starts to rain.;men;life together;4.0;3.0;2.0;9;17.2;10.7;;17;2.0;Public Spaces;10;7.0;Animals;Economic Activity & Livelihoods;Rights & Dignity;;;3.122056;3.661017;4.300885;1.830508;12.15;2.842105
38;"Drveće oko Radobolje nije ""okićeno"" plastičnim kesama";"The trees around the Radobolja aren't ""decorated"" with plastic bags";youth;life together;4.0;3.0;1.0;8;18.2;;;18;2.0;Waste prevention;0;0;0;Rights & Dignity;0;;;2.775161;3.661017;4.300885;0.915254;0.967164;0.0
88;Ljudi ne bacaju smeće u rijeku.;People don't throw waste in the river.;youth;life together;2.0;2.0;4.0;8;18.2;3.2;;18;2.0;Waste prevention;3;2.0;Public Ownership;Rights & Dignity;Culture & Society;0.0;2.0;2.775161;1.830508;2.867257;3.661017;0.967164;2.545455
106;Ljudi u Mostaru žive sretno u miješanim brakovima.;People in Mostar live happily in mixed marriages.;women;life together;1.0;3.0;4.0;8;6.2;;;6;2.0;Personal relationships;0;0;0;Culture & Society;0;;;2.775161;0.915254;4.300885;3.661017;0.208897;0.0
256;U Mostaru ima volontera (briga za napuštene životinje, obroci za stare osobe, čišćenje);There are many volunteers in Mostar (caring for abandoned animals, meals for the elderly, cleaning);men;life together;2.0;1.0;5.0;8;6.4;3.2;;6;4.0;Activism;3;2.0;Public Ownership;Culture & Society;Culture & Society;1.0;1.0;2.775161;1.830508;1.433628;4.576271;0.208897;2.545455
280;U Mostaru se zapošljavaju stručni, a ne podobni ljudi.;In Mostar competent people are employed, not ones who toe the political party line.;men;life together;3.0;2.0;3.0;8;20.2;4.2;Translation;20;2.0;Hiring & employment;4;2.0;Corruption;Economic Activity & Livelihoods;Rights & Dignity;1.0;2.0;2.775161;2.745763;2.867257;2.745763;0.48;2.434783
292;U školama ima školski liječnik i psiholog;There is a school doctor and psychologist in schools.;youth;life together;3.0;1.0;4.0;8;19.0;23.2;;19;0.0;Education;23;2.0;0;Rights & Dignity;Rights & Dignity;;;2.775161;2.745763;1.433628;3.661017;3.857143;1.333333
15;Ako je dijete palo na igralištu, ne pitamo koje je vjere - pomažemo bez obzira na to;If a child falls on the playground, we don't ask him about him what is his religion, we help him regardless of that.;youth;life together;2.0;4.0;1.0;7;15.5;3.4;;15;5.0;Inclusion;3;4.0;Integration;Culture & Society;Culture & Society;-2.0;1.0;2.428266;1.830508;5.734513;0.915254;1.075901;2.227273
186;Postavljanje video-nadzora u Mostar doprinosi sigurnosti;Video surveillance placement in Mostar contributes to safety;youth;life together;4.0;3.0;;7;17.2;2.4;;17;2.0;Public Spaces;2;4.0;Technology;Economic Activity & Livelihoods;Security;;;2.428266;3.661017;4.300885;0.0;9.45;1.96
219;Škole u Mostaru nisu jednonacionalne.;Schools in Mostar are not ethnically homogeneous;men;life together;3.0;2.0;2.0;7;19.3;;;19;3.0;School inclusiveness;0;0;0;Rights & Dignity;0;1.0;2.0;2.428266;2.745763;2.867257;1.830508;3.375;0.0
221;Sportski tereni u Mostaru su besplatni za treninge djece (Kantarevac, Gradski bazen);Sports fields are free of charge for children's practices in Mostar (SC Kantarevac, Public Swimming Pool);women;life together;1.0;3.0;3.0;7;12.2;15.0;;12;2.0;Public support for sport;15;0;Youth;Culture & Society;Culture & Society;;;2.428266;0.915254;4.300885;2.745763;7.363636;1.919355
313;Vjetar ne raznosi smeće po gradu;The wind does not disperse junk all over the town;youth;life together;4.0;1.0;2.0;7;18.2;;;18;2.0;Waste prevention;0;0;0;Rights & Dignity;0;3.0;1.0;2.428266;3.661017;1.433628;1.830508;0.846269;0.0
29;Djeca se zajedno igraju žmurke u dvorištu u MZ Podhum;Children play hide and seek in front of the MZ Podhum.;youth;life together;1.0;;5.0;6;3.1;15.0;;3;10.0;Open Spaces;15;0;Youth;Culture & Society;Culture & Society;1.0;1.0;2.08137;0.915254;0.0;4.576271;0.252468;1.645161
53;Imamo mjesto i sistem za recikliranje;There is a recycling place and system;youth;life together;2.0;;4.0;6;18.1;10.6;;18;10.0;Waste management Services;10;6.0;Public utilities;Rights & Dignity;Rights & Dignity;;;2.08137;1.830508;0.0;3.661017;0.725373;1.894737
