#;Indikator BHS;Indicator English;Focus Group;Concept;F;M;Y;T;Code 1;Code 2;Comments;Code 1 ;Subcode 1;Subcat 1 name;Code 2;Subcode 2;Subcat 2 name;Dimension 1;Dimension 2;M-F;Min (M,F,Y);Imp score;Imp-F;Imp-M;Imp-Y;Imp-Cat1;Imp-Cat2
1;U Potocima postoji bazen.;There is a pool in Potoci.;youth;life together;2.0;5.0;20.0;27;3.1;17.2;;3;10.0;Open Spaces;17;2.0;Public Spaces;Culture & Society;Economic Activity & Livelihoods;-3;2.0;8.008475;2.058824;5.30303;13.72549;1.372549;4.295455
2;Remzo i Zdravko su pokrenuli zajedničku inicijativu da se u Potoke vrati navodnjavanje.;Remzo and Zdravko started a joint initiative to bring irrigation back to Potoci.;men;life together;6.0;8.0;3.0;17;6.4;17.6;;6;4.0;Activism;17;6.0;Water/agriculture;Culture & Society;Economic Activity & Livelihoods;-2;3.0;5.042373;6.176471;8.484848;2.058824;0.409991;2.704545
4;Izgrađen je sistem navodnjavanja tako da se ljudi mogu baviti poljoprivredom u Potocima;An irrigation system was built so that people in Potoci can engage in agriculture.;women;life together;8.0;6.0;2.0;16;20.8;17.6;;20;8.0;Livelihoods;17;6.0;Water/agriculture;Economic Activity & Livelihoods;Economic Activity & Livelihoods;2;2.0;4.745763;8.235294;6.363636;1.372549;0.923711;2.545455
8;Napravljena je poljoprivredna zadruga koja ljudima omogućava prodaju poljoprivrednih proizvoda (npr. voća i povrća).;An agricultural cooperative was created that allows people to sell agricultural products (e.g. fruits and vegetables).;women;life together;5.0;2.0;6.0;13;20.8;;;20;8.0;Livelihoods;0;0;0;Economic Activity & Livelihoods;0;3;2.0;3.855932;5.147059;2.121212;4.117647;0.750515;0.0
13;U Mostaru ne postoje „ova“ i „ona“ strana;"There is no ""this"" and ""that"" side in Mostar.";women;life together;1.0;2.0;9.0;12;6.1;3.2;;6;10.0;Us V Them;3;2.0;Public Ownership;Culture & Society;Culture & Society;-1;1.0;3.559322;1.029412;2.121212;6.176471;0.289406;3.176471
14;Mladima u Potocima je svejedno kako se ko zove.;Young people in Potoci do not care how people are called.;youth;life together;;4.0;8.0;12;15.5;1.1;;15;5.0;Inclusion;1;10.0;Personal value;Culture & Society;Culture & Society;-4;4.0;3.559322;0.0;4.242424;5.490196;3.320158;2.714286
15;Kazne su iste za sve ljude, bez obzira ko su.;Punishments/fines are the same for all people no matter who they are.;men;life together;6.0;6.0;;12;6.3;4.2;;6;3.0;Social Trust;4;2.0;Corruption;Culture & Society;Rights & Dignity;0;6.0;3.559322;6.176471;6.363636;0.0;0.289406;2.322581
22;Mladi vozač iz Potoka uvijek stane za ljude koji stopiraju.;The young driver from Potoci always stops for people who hitchhike.;youth;life together;7.0;;4.0;11;15.0;1.3;;15;0.0;Youth;1;3.0;Social;Culture & Society;Culture & Society;7;4.0;3.262712;7.205882;0.0;2.745098;3.043478;2.488095
23;Evropa je u Mostaru napravila firme, a ne crkve i džamije, kako bi se ljudi zaposlili;Europe built companies in Mostar as, opposed to churches and mosques, in order to hire people.;men;life together;5.0;3.0;3.0;11;20.0;14.4;;20;0.0;Business;14;4.0;Religious buildings;Economic Activity & Livelihoods;Culture & Society;2;3.0;3.262712;5.147059;3.181818;2.058824;0.635052;3.473684
28;Političari ne zavađaju ljude, pa se oni međusobno fino slažu.;Politicians do not mislead people, so they get along well with each other.;women;life together;5.0;3.0;2.0;10;9.5;1.0;;9;5.0;Political coexistence;1;0;Integration and Acceptance;Rights & Dignity;Culture & Society;2;2.0;2.966102;5.147059;3.181818;1.372549;1.904762;2.261905
29;Ljudi nisu prisiljeni tražiti veze za posao.;People are not forced to look for connections for work.;women;life together;4.0;4.0;2.0;10;4.2;20.2;;4;2.0;Corruption;20;2.0;Hiring & employment;Rights & Dignity;Economic Activity & Livelihoods;0;2.0;2.966102;4.117647;4.242424;1.372549;1.88172;2.57732
32;Mjesna zajednica poznaje potrebe ljudi koji tu žive.;The Mjesna zajednica knows the needs of the people who live there.;men;life together;3.0;2.0;4.0;9;9.6;9.3;;9;6.0;Mjesna zajednica;9;3.0;Political functionality;Rights & Dignity;Rights & Dignity;1;2.0;2.669492;3.088235;2.121212;2.745098;1.714286;2.755102
37;U Potocima ima voda za navodnjavanje, pa čovjek koji je posadio 100 šipaka ne mora da skupo plaća zalijevanje iz slavine.;There is water for irrigation in Potoci, so a man who planted 100 pomegranates does not have to pay dearly for watering from the tap.;men;life together;5.0;2.0;1.0;8;20.8;17.6;;20;8.0;Livelihoods;17;6.0;Water/agriculture;Economic Activity & Livelihoods;Economic Activity & Livelihoods;3;1.0;2.372881;5.147059;2.121212;0.686275;0.461856;1.272727
38;Radionice, poput večerašnje fokus grupe, održavaju se češće u Potocima.;Workshops, such as tonight's focus group, are held more often in Potoci.;youth;life together;1.0;2.0;5.0;8;3.7;;;3;7.0;Activities;0;0;0;Culture & Society;0;-1;1.0;2.372881;1.029412;2.121212;3.431373;0.406681;0.0
39;Ljudi ne moraju davati pare doktorima koji ih trebaju operisati.;People do not have to give money to doctors who need to perform surgeries on them.;men;life together;5.0;3.0;;8;4.2;23.2;2022-02-12 00:00:00;4;2.0;Corruption;23;2.0;0;Rights & Dignity;Rights & Dignity;2;3.0;2.372881;5.147059;3.181818;0.0;1.505376;4.0
40;Pravosuđe je odvojeno od politike.;The judiciary is separate from politics.;women;life together;6.0;2.0;;8;9.2;4.0;;9;2.0;Political accountability;4;0;Criminality and Legal Enforcement;Rights & Dignity;Rights & Dignity;4;2.0;2.372881;6.176471;2.121212;0.0;1.52381;1.548387
46;Ljudi u Potocima znaju šta je zajednički život, jer su i prije zajedno živjeli.;People in Potoci know what life together is, because they have lived together before.;men;life together;1.0;5.0;1.0;7;1.3;6.9;;1;3.0;Social;6;9.0;Ethno-religious identity;Culture & Society;Culture & Society;-4;1.0;2.076271;1.029412;5.30303;0.686275;0.614035;2.22963
47;Ljudi u Mostaru međusobne razlike vide kao svoje bogatstvo.;People in Mostar consider their differences a treasure.;youth;life together;;5.0;2.0;7;1.3;6.9;;1;3.0;Social;6;9.0;Ethno-religious identity;Culture & Society;Culture & Society;-5;2.0;2.076271;0.0;5.30303;1.372549;0.614035;2.22963
48;Ljudi u Potocima ne gađaju jajima ničiju kuću.;People in Potoci do not throw eggs at anyone's house.;youth;life together;;;7.0;7;4.3;2.0;;4;3.0;Non-violent Crime;2;0;Tranquility/Security;Rights & Dignity;Security;0;7.0;2.076271;0.0;0.0;4.803922;1.317204;1.0
53;Ljudi u Potocima se međusobno poštuju;People in Potoci respect each other.;women;life together;2.0;3.0;1.0;6;1.1;;;1;10.0;Personal value;0;0;0;Culture & Society;0;-1;1.0;1.779661;2.058824;3.181818;0.686275;0.526316;0.0
54;Ljude, koji sjede u kafićima u Mostaru, nije briga ko još tu sjedi.;People who sit in cafes in Mostar do not care who else is sitting there.;men;life together;4.0;2.0;;6;11.1;1.3;;11;10.0;Cafes and Space;1;3.0;Social;Culture & Society;Culture & Society;2;2.0;1.779661;4.117647;2.121212;0.0;1.105263;1.357143
55;Borovi oko škole još uvijek postoje, jer nisu posječeni.;The pines around the school still exist because they have not been cut down.;youth;life together;2.0;1.0;3.0;6;18.0;3.2;;18;0.0;Environment;3;2.0;Public Ownership;Rights & Dignity;Culture & Society;1;1.0;1.779661;2.058824;1.060606;2.058824;8.0;1.588235
56;U sportskim klubovima u Mostaru se ne gleda nacija trenera nego da je trener odličan.;The sports clubs in Mostar do not care about coaches' nationality, but that the coach is excellent.;women;life together;;3.0;3.0;6;12.4;6.9;;12;4.0;Inclusion;6;9.0;Ethno-religious identity;Culture & Society;Culture & Society;-3;3.0;1.779661;0.0;3.181818;2.058824;15.0;1.911111
57;U Potocima postoji novi centar za cjeloživotno učenje.;There is a new center for lifelong learning in Potoci.;youth;life together;4.0;1.0;1.0;6;19.2;;;19;2.0;Non-school based education;0;0;0;Rights & Dignity;0;3;1.0;1.779661;4.117647;1.060606;0.686275;2.413793;0.0
64;Ljudi pokazuju da su dobre osobe 365 dana u godini, a ne samo čestitkom za praznike.;People show that they are good 365 days a year, and not just by sending a holiday greeting card.;men;life together;;2.0;3.0;5;1.0;6.0;;1;0.0;Integration and Acceptance;6;0;Social Relations;Culture & Society;Culture & Society;-2;2.0;1.483051;0.0;2.121212;2.058824;0.438596;1.592593
65;Mladi u Potocima nisu razdvojeni po nacionalnosti, tako da znaju za događaje ovih drugih (npr. smotra folklora, mačkare);Young people in Potoci are not separated by nationality, so they know about the events of others (e.g. folklore festival, masquerade).;youth;life together;1.0;2.0;2.0;5;15.5;3.7;;15;5.0;Inclusion;3;7.0;Activities;Culture & Society;Culture & Society;-1;1.0;1.483051;1.029412;2.121212;1.372549;1.383399;1.323529
66;Dosta studenata drugih vjera studiraju na Univerzitetu „Džemal Bijedić“ u Mostaru, jer je jeftiniji.;"Many students of other faiths study at the ""Džemal Bijedić"" University in Mostar, because it is cheaper.";men;life together;3.0;2.0;;5;19.3;6.9;;19;3.0;School inclusiveness;6;9.0;Ethno-religious identity;Rights & Dignity;Culture & Society;1;2.0;1.483051;3.088235;2.121212;0.0;2.011494;1.592593
67;Mladi iz fokus grupe rade na tome da se neki događaji o kojima se razgovaralo održe u Potocima (npr. svirka).;Young people from the focus group are working to hold some of the events discussed in Potoci (e.g. a concert).;youth;life together;1.0;;4.0;5;11.0;15.1;;11;0.0;Socializing;15;10.0;Engagement;Culture & Society;Culture & Society;1;1.0;1.483051;1.029412;0.0;2.745098;0.921053;1.195652
82;Žena iz Potoka ne želi da joj govore „Ne idi na konkurs, sve se već zna, nećeš dobiti posao“.;"A woman from Potoci does not want to be told ""Don't go to the contest, everything is already known, you won't get a job"".";women;life together;2.0;;2.0;4;20.2;4.2;;20;2.0;Hiring & employment;4;2.0;Corruption;Economic Activity & Livelihoods;Rights & Dignity;2;2.0;1.186441;2.058824;0.0;1.372549;0.230928;0.774194
