#;Indikator BHS;Indicator English;Focus Group;Concept;F;M;Y;T;Code 1;Code 2;Comments;Code 1 ;Subcode 1;Subcat 1 name;Code 2;Subcode 2;Subcat 2 name;Dimension 1;Dimension 2;M-F;Min (M,F,Y);Imp score;Imp-F;Imp-M;Imp-Y;Imp-Cat1;Imp-Cat2
2;U lokalnom kafiću kod Nine, na Bijelom Brijegu, mladi ljudi se okupljaju bez prethodnog dogovora.;Young people gather in a local cafe, Nina's, in Bijeli Brijeg without prior arrangements.;men;life together;2.0;10.0;16.0;28;11.1;15.0;;11;10.0;Cafes and Space;15;0;Youth;Culture & Society;Culture & Society;-8;2;7.576471;2.033149;10.222222;9.405751;0.450744;4.493827
3;U periodu kada je bio policijski sat zbog COVID-a, ljudi su se počeli više družiti (npr. na Gorancima).;During the curfew due to COVID, people began to hang out more (e.g. in Goranci).;men;life together;4.0;5.0;16.0;25;11.0;;;11;0.0;Socializing;0;0;0;Culture & Society;0;-1;4;6.764706;4.066298;5.111111;9.405751;0.40245;0.0
6;Mladi su dobili financijski poticaj nakon što su počeli praviti stepenice na Neretvi.;Young people were given a financial incentive after starting to build stairs to the Neretva.;men;life together;3.0;9.0;4.0;16;15.1;9.8;;15;10.0;Engagement;9;8.0;Access to public funds;Culture & Society;Rights & Dignity;-6;3;4.329412;3.049724;9.2;2.351438;0.698955;3.096774
7;Kavu kod Nine piju i posličari i besposličari.;Employees and non-employees both drink coffee at Nina's cafe.;men;life together;;3.0;12.0;15;11.1;6.3;;11;10.0;Cafes and Space;6;3.0;Social Trust;Culture & Society;Culture & Society;-3;3;4.058824;0.0;3.066667;7.054313;0.24147;3.479381
10;Stanari Bijelog Brijega organiziraju humanitarnu akciju kad je potrebna za spas bolesnog prijatelja.;The residents of Bijeli Brijeg organize a humanitarian activity when needed to save a sick friend.;men;life together;9.0;2.0;3.0;14;6.1;6.3;;6;10.0;Us V Them;6;3.0;Social Trust;Culture & Society;Culture & Society;7;2;3.788235;9.149171;2.044444;1.763578;0.295074;3.247423
11;Djeca koja su se odselila u inostranstvo, kada dođu u posjetu kažu da su zadovoljnija u Mostaru.;When children who have moved abroad come to visit, they claim they are more satisfied in Mostar.;youth;life together;5.0;1.0;8.0;14;15.0;3.2;;15;0.0;Youth;3;2.0;Public Ownership;Culture & Society;Culture & Society;4;1;3.788235;5.082873;1.022222;4.702875;0.611586;3.13242
12;Kada čovjeku, koji je sjedio u jednom kafiću, nije bilo dobro – hitna pomoć je došla za 3 minute.;When a man sitting at a cafe was not ok, an ambulance arrived in three minutes.;women;life together;1.0;6.0;7.0;14;11.1;23.2;;11;10.0;Cafes and Space;23;2.0;0;Culture & Society;Rights & Dignity;-5;1;3.788235;1.016575;6.133333;4.115016;0.225372;4.666667
13;Summer Fest pruža dobar sadržaj koji okuplja mnogo ljudi.;Summer Fest has good content that gathers a lot of people.;men;life together;2.0;5.0;7.0;14;3.7;11.2;;3;7.0;Activities;11;2.0;Social;Culture & Society;Culture & Society;-3;2;3.788235;2.033149;5.111111;4.115016;0.240052;2.480315
15;Mlada žena sa Bijelog Brijega je sa društvom organizirala pravljenje adventskih vijenaca gdje su svi donijeli hranu i piće.;A young woman from Bijeli Brijeg and her friends organized an Advent wreath-making party where everyone brought food and drinks.;women;life together;8.0;;5.0;13;11.0;3.7;;11;0.0;Socializing;3;7.0;Activities;Culture & Society;Culture & Society;8;5;3.517647;8.132597;0.0;2.939297;0.209274;2.908676
17;Ljudi u Mostaru su spremni pomoći susjedima ako su u problemu.;People in Mostar are ready to help their neighbors if they are in trouble.;women;life together;2.0;5.0;5.0;12;6.1;1.3;2022-02-14;6;10.0;Us V Them;1;3.0;Social;Culture & Society;Culture & Society;-3;2;3.247059;2.033149;5.111111;2.939297;0.252921;2.0
