#;Indikator BHS;Indicator English;Focus Group;Concept;F;M;Y;T;Code 1;Code 2;Comments;Code 1 ;Subcode 1;Subcat 1 name;Code 2;Subcode 2;Subcat 2 name;Dimension 1;Dimension 2;M-F;Min (M,F,Y);Imp score;Imp-F;Imp-M;Imp-Y;Imp-Cat1;Imp-Cat2
1;Mir se stvara kroz zajedništvo;Peace is achieved through togetherness;women;peace;8.0;5.0;8.0;21;6.11;1.0;;6;11.0;Cooperation & Coexistence;1;0;Integration and Acceptance;Culture & Society;Culture & Society;3.0;5.0;5.544304;6.051813;3.72449;7.121951;0.920168;4.747826
6;Životinje nisu napuštene na Bunici;Animals are not abandoned at Bunica;youth;peace;4.0;2.0;8.0;14;10.7;;;10;7.0;Animals;0;0;0;Rights & Dignity;0;2.0;2.0;3.696203;3.025907;1.489796;7.121951;4.889952;0.0
7;Kulturne institucije nemaju nacionalne predznake;Cultural institutions don't have national symbols.;men;peace;8.0;4.0;2.0;14;8.0;3.4;;8;0.0;Nationalism;3;4.0;Integration;Culture & Society;Culture & Society;4.0;2.0;3.696203;6.051813;2.979592;1.780488;22.217391;2.8
8;Penjači u Blagaju su jedan primjer organizacija koje nešto rade u Blagaju;Climbers in Blagaj are an example of organization that is accomplishing something.;youth;peace;3.0;10.0;1.0;14;12.3;9.7;;12;3.0;Activities;9;7.0;Citizens' associations;Culture & Society;Rights & Dignity;-7.0;1.0;3.696203;2.26943;7.44898;0.890244;7.121951;3.260274
11;Postoje kontejneri za otpad u Blagaju;In Blagaj, there are trash containers (dumpsters);youth;peace;5.0;5.0;3.0;13;18.1;17.2;;18;10.0;Waste management Services;17;2.0;Public Spaces;Rights & Dignity;Economic Activity & Livelihoods;0.0;3.0;3.432188;3.782383;3.72449;2.670732;1.581667;3.058824
12;U Blagaju postoji ambulanta koja radi 24 sati, a ne 3 sata dnevno;In Blagaj, health clinics are available 24 hours a day, not 3 hours a day.;youth;peace;3.0;4.0;6.0;13;23.3;;2022-02-12 00:00:00;23;3.0;0;0;0;0;Rights & Dignity;0;-1.0;3.0;3.432188;2.26943;2.979592;5.341463;31.633333;0.0
13;Ljudi su za to da se ukinu sve tri nacionalne stranke;People are in favor of abolishing all three national parties.;women;peace;4.0;7.0;2.0;13;9.9;;;9;9.0;Political parties;0;0;0;Rights & Dignity;0;;;3.432188;3.025907;5.214286;1.780488;1.529412;0.0
15;Pokazujemo da su svi ljudi dobrodošli u Blagaj;We demonstrate that everyone is welcome in Blagaj.;youth;peace;7.0;2.0;3.0;12;1.3;;;1;3.0;Social;0;0;0;Culture & Society;0;5.0;2.0;3.168174;5.295337;1.489796;2.670732;0.585953;0.0
16;Ljudi poštivaju različitosti;People respect diversity;women;peace;6.0;2.0;4.0;12;1.1;;;1;10.0;Personal value;0;0;0;Culture & Society;0;4.0;2.0;3.168174;4.53886;1.489796;3.560976;0.585953;0.0
17;Trebala bi biti policajaca na različitim mjesta u Blagaju;There should be police officers stationed at different locations in Blagaj.;youth;peace;3.0;3.0;6.0;12;5.0;;;5;0.0;Police;0;0;0;Armed Actors;0;;;3.168174;2.26943;2.234694;5.341463;15.927273;0.0
