#;Indikator BHS;Indicator English;Focus Group;Concept;F;M;Y;T;Code 1;Code 2;Comments;Code 1 ;Subcode 1;Subcat 1 name;Code 2;Subcode 2;Subcat 2 name;Dimension 1;Dimension 2;M-F;Min (M,F,Y);Imp score;Imp-F;Imp-M;Imp-Y;Imp-Cat1;Imp-Cat2
3;U „krugu“ na Bulevaru, gdje je sto za stoni tenis, postoji rasvjeta pa se tu ne skupljaju narkomani;In Bulevar’s 'circle', where the ping pong table is located, drug users do not gather, because it’s well lit.;youth;peace;16.0;9.0;5.0;30;16.4;17.3;;16;4.0;Usage;17;3.0;Public Lighting;Rights & Dignity;Economic Activity & Livelihoods;7;5;7.153179;9.198606;8.4375;3.60262;4.054054;2.903226
4;Postoji povjerenik MZ Cernica;The Mjesna zajednica of Cernica has a commissioner.;men;peace;2.0;12.0;6.0;20;9.6;;;9;6.0;Mjesna zajednica;0;0;0;Rights & Dignity;0;-10;2;4.768786;1.149826;11.25;4.323144;2.787162;0.0
5;Mladi sa zapadne strane se ne dogovaraju preko društvenih mreža gdje će ići da se biju;The youth from the West side of Mostar do not plan through social media platforms where they should go to fight.;youth;peace;9.0;3.0;7.0;19;6.5;4.1;2022-01-28 00:00:00;6;5.0;Technology;4;10.0;Sport & Hooliganism;Culture & Society;Rights & Dignity;6;3;4.530347;5.174216;2.8125;5.043668;0.95173;4.209581
6;U „krugu“ na Bulevaru postoji rasvjeta;Bulevar’s 'circle' is illuminated.;youth;peace;4.0;4.0;11.0;19;17.3;3.1;;17;3.0;Public Lighting;3;10.0;Open Spaces;Economic Activity & Livelihoods;Culture & Society;0;4;4.530347;2.299652;3.75;7.925764;3.74552;4.0
7;Prostorije MZ Cernica nisu uvijek zaključane;The premises of the Mjesna zajednica of Cernica aren’t always locked.;men;peace;1.0;6.0;3.0;10;9.3;9.6;;9;3.0;Political functionality;9;6.0;Mjesna zajednica;Rights & Dignity;Rights & Dignity;-5;1;2.384393;0.574913;5.625;2.161572;1.393581;2.162162
8;Na Bulevaru nema narkomana;There aren’t any drug users in Bulevar.;youth;peace;3.0;5.0;10.0;18;16.4;;;16;4.0;Usage;0;0;0;Rights & Dignity;0;-2;3;4.291908;1.724739;4.6875;7.20524;2.432432;0.0
10;Stare ruševine u kojima se se prije okupljali narkomani i dileri su srušene/poravnate;The old ruins where drug users and dealers used to gather have been demolished / leveled;men;peace;8.0;4.0;4.0;16;17.4;16.1;;17;4.0;Buildings;16;10.0;Prevention;Economic Activity & Livelihoods;Rights & Dignity;4;4;3.815029;4.599303;3.75;2.882096;3.154122;1.585586
11;Policija daje novčane kazne od 400 KM na licu mjesta za narušavanje javnog reda i mira, kao i u Sarajevu;The ruined buildings are destroyed, where previously drug users and dealers gathered.;women;peace;8.0;5.0;3.0;16;5.1;4.3;;5;10.0;Accountability;4;3.0;Non-violent Crime;Armed Actors;Rights & Dignity;3;3;3.815029;4.599303;4.6875;2.161572;1.346939;3.54491
12;Roditelje nije strah da će osobe iz komšiluka njihovu djecu uvući u svijet droge;Parents are not scared of the fact that some people from their neighborhood could drag their children into the world of narcotics.;women;peace;7.0;2.0;7.0;16;16.4;23.3;2.12.22;16;4.0;Usage;23;3.0;0;Rights & Dignity;Rights & Dignity;5;2;3.815029;4.02439;1.875;5.043668;2.162162;6.4
14;Kad je kućni red (14:00-17:00 h) niko se ne dere, pa ljudi mogu spavati;During quiet hours (2 to 5 pm) no one yells, therefore people can sleep.;youth;peace;9.0;3.0;3.0;15;6.12;3.2;;6;12.0;Neighbor Relations;3;2.0;Public Ownership;Culture & Society;Culture & Society;6;3;3.57659;5.174216;2.8125;2.161572;0.751366;3.157895
15;Djeca sa Bulevara mogu da koriste igralište za fudbal, koje su sami uređivali.;Children who live in Bulevar can use the football/soccer field that they themselves made.;youth;peace;3.0;4.0;7.0;14;12.1;15.2;;12;10.0;Facilities;15;2.0;Infrastructure;Culture & Society;Culture & Society;-1;3;3.33815;1.724739;3.75;5.043668;11.666667;3.948718
16;Momka od 15-16 godina, koji oko 11-12 sati navečer šeta psa, na Bulevaru preko puta Doma zdravlja ne čeka grupa navijača Zrinjskog da ga prebiju;There are no Zrinjski fans waiting to beat up a 15 or 16 year old boy who was walking his dog in the evening along Bulevar across from the hospital at 11 or 12 in the evening.;youth;peace;6.0;1.0;5.0;12;4.1;15.0;;4;10.0;Sport & Hooliganism;15;0;Youth;Rights & Dignity;Culture & Society;5;1;2.861272;3.449477;0.9375;3.60262;0.32044;3.384615
17;Ljudi s Bulevara i Cernice mogu ići u najbližu ambulantu - Dom zdravlja na Bulevaru, a ne na Carinu.;People from Bulevar and Cernica can go to the nearest clinic on Bulevar and not the one in Carina.;women;peace;3.0;3.0;6.0;12;23.2;1.0;2022-02-12 00:00:00;23;2.0;0;1;0;Integration and Acceptance;Rights & Dignity;Culture & Society;0;3;2.861272;1.724739;2.8125;4.323144;22.0;2.666667
19;Ljudi ne bacaju otpad u Neretvu;People don’t throw trash into the Neretva river.;men;peace;3.0;6.0;2.0;11;18.2;3.2;;18;2.0;Waste prevention;3;2.0;Public Ownership;Rights & Dignity;Culture & Society;-3;2;2.622832;1.724739;5.625;1.441048;18.15;2.315789
27;Komšija, vlasnik psa, ne dozvoli da njegov pas nekoga ujede dok ga drži na povocu;The neighbour who owns a dog doesn’t allow his dog to bite someone while leashed.;women;peace;1.0;1.0;8.0;10;10.7;6.12;;10;7.0;Animals;6;12.0;Neighbor Relations;Rights & Dignity;Culture & Society;0;1;2.384393;0.574913;0.9375;5.764192;20.625;2.213115
29;Djeca od 17-18 godina sa zapadne strane ne ustaju ujutro u 7-8 sati svakog februara, kako bi na Partizanskom groblju kamenovali starije ljude iz udruženja antifašista s istočne strane, koji dolaze da obilježe oslobođenje Mostara;Children aged 17-18 from the west side do not get up at 7-8 in the morning every February to stone older people from the anti-fascist association from the east, who come to mark the liberation of Mostar, at the Partisan Cemetery.;youth;peace;5.0;;4.0;9;4.4;6.1;;4;4.0;Violent Crime;6;10.0;Us V Them;Rights & Dignity;Culture & Society;5;4;2.145954;2.874564;0.0;2.882096;0.24033;1.991803
30;Prolaznici u Cernici nisu primorani sklanjati svoju djecu ispred jurećih automobila;The passengers in Cernica are not forced to move their children to get away from the speeding cars.;men;peace;6.0;1.0;2.0;9;21.2;21.3;;21;2.0;Traffic;21;3.0;Pedestrian Safety;Culture & Society;Culture & Society;5;1;2.145954;3.449477;0.9375;1.441048;1.247899;2.185714
31;Igralište, kao glavna atrakcija na Bulevaru, nije uništeno;The playground, which is seen as the main attraction on Bulevar, isn't ruined.;youth;peace;3.0;1.0;5.0;9;3.8;12.1;;3;8.0;Condition;12;10.0;Facilities;Culture & Society;Culture & Society;2;1;2.145954;1.724739;0.9375;3.60262;0.542763;1.636364
32;Dječak ne mora da čeka da naiđe neko od komšija, kako bi se s njim/njom vratio kući iz parka na Bulevaru kad padne mrak.;A boy does not have to wait until some neighbor passes by to return with him home when night falls, .;youth;peace;3.0;1.0;5.0;9;6.12;2.0;;6;12.0;Neighbor Relations;2;0;Tranquility/Security;Culture & Society;Security;2;1;2.145954;1.724739;0.9375;3.60262;0.45082;2.833333
33;Policija se ne grije na pumpi prekoputa cijelu noćnu smjenu, nego boravi po Bulevaru i Cernici;The police do not warm themselves at the gas station during the whole night shift, but stay on Bulevar and Cernica;women;peace;4.0;4.0;1.0;9;5.1;5.2;;5;10.0;Accountability;5;2.0;Interactions;Armed Actors;Armed Actors;0;1;2.145954;2.299652;3.75;0.720524;0.757653;1.836735
40;Po ulicama nema grafita s ustaškim znakovima;There aren’t any graffiti with Ustasha signs on the streets.;youth;peace;;1.0;7.0;8;7.1;8.5;;7;10.0;Memorialization;8;5;Political Symbols;Dealing with the Past;Culture & Society;-1;1;1.907514;0.0;0.9375;5.043668;47.142857;2.666667
41;Ljudi se više ne parkiraju nepropisno u Cernici, jer su primijetili da policija tu često stoji;People no longer park improperly in Cernica, as they have noticed that the police often stand there;youth;peace;3.0;;5.0;8;21.1;5.2;;21;10.0;Parking;5;2.0;Interactions;Culture & Society;Armed Actors;3;3;1.907514;1.724739;0.0;3.60262;1.109244;1.632653
42;U školi se dijete ne klasifikuje po tome kakvu uslugu njegov/njen roditelj može učiniti nastavniku;At school, a child is not classified according to what kind of service his / her parent can do for the teacher;women;peace;6.0;1.0;1.0;8;4.2;19.0;;4;2.0;Corruption;19;0;Education;Rights & Dignity;Rights & Dignity;5;1;1.907514;3.449477;0.9375;0.720524;0.213627;2.064516
43;Bulevar i Cernica su navečer jednako mirni i ljeti i zimi;Bulevar and Cernica are equally calm in the evening in summer and winter;women;peace;3.0;1.0;4.0;8;3.0;;;3;0.0;Public space;0;0;0;Culture & Society;0;2;1;1.907514;1.724739;0.9375;2.882096;0.482456;0.0
47;U naselju Bulevar su postavljeni ležeći policajci, pa vozači obraćaju pažnju na malu djecu koja tuda prolaze.;Speedbumps have been set up in the Bulevar neighborhood, so drivers pay attention to small children crossing.;youth;peace;2.0;1.0;4.0;7;21.3;17.1;;21;3.0;Pedestrian Safety;17;10.0;Roads;Culture & Society;Economic Activity & Livelihoods;1;1;1.669075;1.149826;0.9375;2.882096;0.970588;0.677419
48;Na prometnoj magistrali na Bulevaru, ljudi ne moraju hodati cestom, jer se na trotoaru ne nalazi ograda oko ruševina;On the main road in Bulevar, people don’t walk down the road, because there are no fences around the ruins near the sidewalk.;youth;peace;2.0;1.0;4.0;7;21.3;17.4;;21;3.0;Pedestrian Safety;17;4.0;Buildings;Culture & Society;Economic Activity & Livelihoods;1;1;1.669075;1.149826;0.9375;2.882096;0.970588;0.677419
49;Ljudi ne parkiraju auta ispred ulaza u zgrade na Bulevaru;People don’t park their cars near the entrance's to buildings in Bulevar.;verifi.;peace;3.0;4.0;;7;21.1;;;21;10.0;Parking;0;0;0;Culture & Society;0;-1;3;1.669075;1.724739;3.75;0.0;0.970588;0.0
50;Političari su imenovali komesara policije HNK;Politicians choose the commissioner of the police in Herzegovina-Neretva Canton.;men;peace;1.0;3.0;3.0;7;5.0;9.3;;5;0.0;Police;9;3.0;Political functionality;Armed Actors;Rights & Dignity;-2;1;1.669075;0.574913;2.8125;2.161572;0.589286;1.513514
51;Prestupnici se sankcionišu krivično.;Criminals are being punished.;verifi.;peace;1.0;6.0;;7;4.0;;;4;0.0;Criminality and Legal Enforcement;0;0;0;Rights & Dignity;0;-5;1;1.669075;0.574913;5.625;0.0;0.186923;0.0
52;Muzika iz „Sky Bar“ nije preglasna ljeti, pa ljudi nemaju osjećaj kao da kod njih u stanu svira;"The music from ""Sky Bar"" is not so loud during summer that people have the feeling that it is playing in their own apartments.";youth;peace;1.0;4.0;2.0;7;3.0;;;3;0.0;Public space;0;0;0;Culture & Society;0;-3;1;1.669075;0.574913;3.75;1.441048;0.422149;0.0
53;Zaštitar ispred Gradske uprave reaguje kad vidi da se dešava bitka;The security guard in front of the City Administration reacts when he sees that a fight is happening;youth;peace;4.0;1.0;2.0;7;4.4;;;4;4.0;Violent Crime;0;0;0;Rights & Dignity;0;3;1;1.669075;2.299652;0.9375;1.441048;0.186923;0.0
54;Policija javno objavljuje imena , prezimena, ime oca i majke, svih osoba koje su učestvovale u nekom incidentu.;The police publicly announce the names, surnames, names of father and mother, all persons who participated in an incident.;verifi.;peace;4.0;2.0;1.0;7;4.0;5.0;;4;0.0;Criminality and Legal Enforcement;5;0;Police;Rights & Dignity;Armed Actors;2;1;1.669075;2.299652;1.875;0.720524;0.186923;1.428571
60;Roditelji ne uče djecu da su vjerske razlike prepreka za druženje.;Parents do not teach children that religious differences are a barrier to friendship.;women;peace;2.0;2.0;2.0;6;19.5;6.9;;19;5.0;Family-based Education;6;9.0;Ethno-religious identity;Rights & Dignity;Culture & Society;0;2;1.430636;1.149826;1.875;1.441048;3.991935;1.327869
61;Na igralištu na Bulevaru osoba koja ima apartmane nije napravila parking na javnoj površini;The owner of apartment does not make a parking lot out of a public play area in Bulevar.;youth;peace;1.0;3.0;2.0;6;21.1;3.2;;21;10.0;Parking;3;2.0;Public Ownership;Culture & Society;Culture & Society;-2;1;1.430636;0.574913;2.8125;1.441048;0.831933;1.263158
62;Ljudi se ne boje da će ih neko napasti kada prođu pored rampe na Bulevaru u 22:00, jer je osvijetljeno;People are not afraid that someone will attack them when they pass by the ramp on the Bulevar at 22:00, because it is illuminated.;youth;peace;2.0;1.0;3.0;6;17.3;2.1;;17;3.0;Public Lighting;2;10.0;Sense of safety;Economic Activity & Livelihoods;Security;1;1;1.430636;1.149826;0.9375;2.161572;1.182796;1.888889
63;Stare ruševine u kojima se okupljaju narkomani i dileri su srušene/poravnate;Old ruins where the drug users and dealers were gathering before are torn down.;men;peace;1.0;5.0;;6;7.7;16.4;;7;7.0;Infrastructure;16;4.0;Usage;Dealing with the Past;Rights & Dignity;-4;1;1.430636;0.574913;4.6875;0.0;35.357143;0.594595
64;Školovani ljudi su postavljeni na vlast;Educated people are appointed to power;women;peace;4.0;1.0;1.0;6;9.0;;;9;0.0;Governance;0;0;0;Rights & Dignity;0;3;1;1.430636;2.299652;0.9375;0.720524;0.836149;0.0
65;Ultrasi ne dolaze u dvorišta Bulevara da kamenuju automobile;“Ultrasi” (Football fans) don’t come into Bulevar's green spaces to throw rocks at cars.;women;peace;;;6.0;6;4.1;6.1;;4;10.0;Sport & Hooliganism;6;10.0;Us V Them;Rights & Dignity;Culture & Society;0;6;1.430636;0.0;0.0;4.323144;0.16022;1.327869
67;Mladi na Bulevaru i Cernici nisu navikli na to da će petkom ili subotom naveče dolaziti navijači sa zapadne strane da prave incidente;Young people on Bulevar and Cernica are not used to fans from the west coming on Friday or Saturday nights to make incidents;youth;peace;;;5.0;5;4.1;6.1;;4;10.0;Sport & Hooliganism;6;10.0;Us V Them;Rights & Dignity;Culture & Society;0;5;1.192197;0.0;0.0;3.60262;0.133517;1.106557
68;Kontejner za smeće nije uvijek pun;The trash container isn’t always full.;youth;peace;4.0;;1.0;5;18.1;10.6;;18;10.0;Waste management Services;10;6.0;Public utilities;Rights & Dignity;Rights & Dignity;4;1;1.192197;2.299652;0.0;0.720524;8.25;1.0
