#;Indikator BHS;Indicator English;Focus Group;Concept;F;M;Y;T;Code 1;Code 2;Comments;Code 1 ;Subcode 1;Subcat 1 name;Code 2;Subcode 2;Subcat 2 name;Dimension 1;Dimension 2;M-F;Min (M,F,Y);Imp score;Imp-F;Imp-M;Imp-Y;Imp-Cat1;Imp-Cat2
1;Kada neko boluje od teške bolesti (leukemije), ljudi skupe novac za njegovo liječenje.;When someone has a serious illness (leukemia), people raise money for their treatment;women;life together;3.0;3.0;22.0;28;6.1;;;6;10.0;Us V Them;0;0;0;Culture & Society;0;0.0;3.0;5.556541;2.026415;2.826316;8.809843;0.455636;0.0
2;U Zaliku postoji nova ambulanta.;There is a new clinic in Zalik.;women;life together;8.0;3.0;12.0;23;23.2;17.4;2022-02-12 00:00:00;23;2.0;0;17;4.0;Buildings;Rights & Dignity;Economic Activity & Livelihoods;5.0;3.0;4.564302;5.403774;2.826316;4.805369;27.446667;2.50495
3;Ljudi se pozdravljaju s osmijehom na licu u Zaliku.;People greet each other with smiles on their faces in Zalik.;women;life together;5.0;7.0;9.0;21;1.3;6.1;;1;3.0;Social;6;10.0;Us V Them;Culture & Society;Culture & Society;-2.0;5.0;4.167406;3.377358;6.594737;3.604027;3.96519;3.696
4;U kafićima nema wi-fi pa ljudi pričaju jedni s drugima.;In cafes there is no Wi-Fi service, so people talk to each other.;men;life together;7.0;3.0;11.0;21;11.1;6.5;;11;10.0;Cafes and Space;6;5;Technology;Culture & Society;Culture & Society;4.0;3.0;4.167406;4.728302;2.826316;4.404922;1.409449;3.696
5;U Zaliku nema provokatorskih grafita po zgradama;In Zalik, there are is no provocative graffiti on buildings;women;life together;5.0;2.0;12.0;19;8.5;3.2;;8;5.0;Political Symbols;3;2.0;Public Ownership;Culture & Society;Culture & Society;3.0;2.0;3.77051;3.377358;1.884211;4.805369;31.490741;2.375
6;U Zaliku postoji funkcionalan fudbalski otvoreni, besplatni teren;In Zalik, there is a fully functional football field which is open and free.;women;life together;;;19.0;19;12.1;12.2;;12;10.0;Facilities;12;2.0;Public support for sport;Culture & Society;Culture & Society;0.0;19.0;3.77051;0.0;0.0;7.608501;37.788889;1.9
7;Na Strelištu ima vodovod.;"At Strelište [a place; lit. shooting range] there is a water supply system";youth;life together;7.0;4.0;8.0;19;17.0;10.6;;17;0.0;Infrastructure;10;6.0;Public utilities;Economic Activity & Livelihoods;Rights & Dignity;;;3.77051;4.728302;3.768421;3.203579;3.061206;3.215385
9;Roditelji nisu opterećeni egzistencijalnim problemima, pa su produktivni za zajednicu.;Parents aren't burdened by existential issues, so they are more productive in the community.;women;life together;10.0;3.0;5.0;18;20.8;3.2;;20;8.0;Livelihoods;3;2.0;Public Ownership;Economic Activity & Livelihoods;Culture & Society;7.0;3.0;3.572062;6.754717;2.826316;2.002237;2.493808;2.25
14;Ambulanta u Zaliku je proširena.;The clinic in Zalik is expanded.;women;life together;4.0;9.0;4.0;17;23.2;17.4;2022-02-12 00:00:00;23;2.0;0;17;4.0;Buildings;Rights & Dignity;Economic Activity & Livelihoods;-5.0;4.0;3.373614;2.701887;8.478947;1.60179;20.286667;1.851485
15;Više se djece igra lopte na ulici.;More kids play football in the streets.;women;life together;7.0;1.0;9.0;17;15.0;3.7;;15;0.0;Youth;3;7.0;Activities;Culture & Society;Culture & Society;;;3.373614;4.728302;0.942105;3.604027;1.115469;2.125
